Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1950,BEST MOTION PICTURE,False,Sunset Blvd.,9,Not Rated,110,USA,Billy Wilder,Drama,English,Paramount Pictures,,8.4
1951,BEST MOTION PICTURE,True,An American in Paris,11,Passed,114,USA,Vincente Minnelli,Drama,English,MGM,84.0,7.2
1951,BEST MOTION PICTURE,False,A Place in the Sun,10,Passed,122,USA,George Stevens,Drama,English,Paramount Pictures,76.0,7.8
1951,BEST MOTION PICTURE,False,Quo Vadis,12,Not Rated,171,USA,"Mervyn LeRoy, Anthony Mann",Biography,English,MGM Home Entertainment,,7.2
1951,BEST MOTION PICTURE,False,A Streetcar Named Desire,12,PG,122,USA,Elia Kazan,Drama,English,Warner Bros. Pictures,96.0,8.0
1952,BEST MOTION PICTURE,True,The Greatest Show on Earth,5,Passed,152,USA,Cecil B. DeMille,Drama,English,Paramount Pictures,,6.6
1952,BEST MOTION PICTURE,False,High Noon,7,PG,85,USA,Fred Zinnemann,Drama,English,United Artists,89.0,7.9
1952,BEST MOTION PICTURE,False,Ivanhoe,2,Approved,106,UK,Richard Thorpe,Adventure,English,MGM Home Entertainment,,6.8
1952,BEST MOTION PICTURE,False,Moulin Rouge,4,Not Rated,119,UK,John Huston,Biography,English,United Artists,,7.1
2001,BEST PICTURE,False,Moulin Rouge,4,Not Rated,119,UK,John Huston,Biography,English,United Artists,,7.1
1952,BEST MOTION PICTURE,False,The Quiet Man,9,Passed,129,USA,John Ford,Comedy,English,Republic Pictures,,7.8
1953,BEST MOTION PICTURE,True,From Here to Eternity,8,Passed,118,USA,Fred Zinnemann,Drama,English,NCM Fathom,85.0,7.6
